Date,Sydney central-east RAQI 24 hour [index],Sydney north-west RAQI 24 hour [index],Sydney south-west RAQI 24 hour [index],Illawarra RAQI 24 hour [index],Lower Hunter RAQI 24 hour [index],Central Coast RAQI 24 hour [index],Newcastle local RAQI 24 hour [index],Emergency Monitoring - Port Macquarie RAQI 24 hour [index],Emergency Monitoring - Coffs Harbour RAQI 24 hour [index]
01/01/1994,45,73,70,57,53,,,,
02/01/1994,41,59,63,59,91,,,,
03/01/1994,40,57,61,51,208,,,,
04/01/1994,27,36,32,38,145,,,,
05/01/1994,37,47,50,100,171,,,,
06/01/1994,43,62,62,32,156,,,,
07/01/1994,64,485,445,227,193,,,,
08/01/1994,84,470,82,43,179,,,,
09/01/1994,31,488,97,27,480,,,,
10/01/1994,18,244,147,35,50,,,,
11/01/1994,150,443,201,79,65,,,,
12/01/1994,138,488,128,159,488,,,,
13/01/1994,263,488,472,448,113,,,,
14/01/1994,87,356,165,104,270,,,,
15/01/1994,16,21,30,18,25,,,,
16/01/1994,25,41,42,37,25,,,,
17/01/1994,57,61,61,108,43,,,,
18/01/1994,83,102,130,73,60,,,,
19/01/1994,27,59,53,23,43,,,,
20/01/1994,24,52,69,26,45,,,,
21/01/1994,39,54,43,44,55,,,,
22/01/1994,16,29,29,17,18,,,,
23/01/1994,25,43,55,40,24,,,,
24/01/1994,22,52,49,39,29,,,,
25/01/1994,23,56,53,32,20,,,,
26/01/1994,14,41,42,27,17,,,,
27/01/1994,25,62,60,44,27,,,,
28/01/1994,14,37,34,21,15,,,,
29/01/1994,28,45,49,51,21,,,,
30/01/1994,19,53,52,24,18,,,,
31/01/1994,12,36,32,14,15,,,,
01/02/1994,28,43,63,42,24,,,,
02/02/1994,33,46,39,38,33,,,,
03/02/1994,19,43,45,23,38,,,,
04/02/1994,27,44,48,35,51,,,,
05/02/1994,28,65,72,33,43,,,,
06/02/1994,58,80,104,79,44,,,,
07/02/1994,66,111,95,96,68,,,,
08/02/1994,36,102,110,33,59,,,,
09/02/1994,54,67,88,37,42,,,,
10/02/1994,24,106,121,46,56,,,,
11/02/1994,62,72,78,60,49,,,,
12/02/1994,22,35,26,30,32,,,,
13/02/1994,17,60,31,34,41,,,,
14/02/1994,12,59,40,28,44,,,,
15/02/1994,30,35,39,73,37,,,,
16/02/1994,74,58,67,120,48,,,,
17/02/1994,29,58,51,52,63,,,,
18/02/1994,19,43,35,43,37,,,,
19/02/1994,19,24,30,37,22,,,,
20/02/1994,16,24,29,35,20,,,,
21/02/1994,21,39,35,29,22,,,,
22/02/1994,45,59,68,51,49,,,,
23/02/1994,80,62,76,40,45,,,,
24/02/1994,81,61,45,51,50,,,,
25/02/1994,93,59,49,33,32,,,,
26/02/1994,20,73,70,27,21,,,,
27/02/1994,50,70,70,62,32,,,,
28/02/1994,46,59,50,47,32,,,,
01/03/1994,34,33,29,39,32,,,,
02/03/1994,36,33,34,32,42,,,,
03/03/1994,57,69,50,53,45,,,,
04/03/1994,49,68,71,76,28,,,,
05/03/1994,72,52,79,47,56,,,,
06/03/1994,38,57,70,50,52,,,,
07/03/1994,27,39,40,26,46,,,,
08/03/1994,40,43,30,31,29,,,,
09/03/1994,20,29,30,28,31,,,,
10/03/1994,42,41,41,32,38,,,,
11/03/1994,28,45,35,26,46,,,,
12/03/1994,20,24,20,19,25,,,,
13/03/1994,18,22,21,17,23,,,,
14/03/1994,29,34,29,28,36,,,,
15/03/1994,55,55,52,39,54,,,,
16/03/1994,57,71,69,63,55,,,,
17/03/1994,22,65,36,32,35,,,,
18/03/1994,18,49,29,31,24,,,,
19/03/1994,20,25,20,18,19,,,,
20/03/1994,24,29,23,19,23,,,,
21/03/1994,43,50,34,60,25,,,,
22/03/1994,31,45,30,23,25,,,,
23/03/1994,28,34,27,24,23,,,,
24/03/1994,36,36,38,32,20,,,,
25/03/1994,19,36,26,27,26,,,,
26/03/1994,19,24,25,22,22,,,,
27/03/1994,19,33,27,24,23,,,,
28/03/1994,20,35,26,20,20,,,,
29/03/1994,17,34,22,26,26,,,,
30/03/1994,37,86,35,99,32,,,,
31/03/1994,51,66,43,74,43,,,,
01/04/1994,47,56,62,60,38,,,,
02/04/1994,24,51,30,24,45,,,,
03/04/1994,26,39,31,29,25,,,,
04/04/1994,30,39,35,43,28,,,,
05/04/1994,31,45,51,44,41,,,,
06/04/1994,39,39,61,43,38,,,,
07/04/1994,73,156,151,25,125,,,,
08/04/1994,28,96,35,34,35,,,,
09/04/1994,49,150,71,55,58,,,,
10/04/1994,40,94,58,54,37,,,,
11/04/1994,92,46,75,20,29,,,,
12/04/1994,26,34,29,25,22,,,,
13/04/1994,24,34,24,23,23,,,,
14/04/1994,18,22,19,23,37,,,,
15/04/1994,32,42,27,32,26,,,,
16/04/1994,43,36,30,34,30,,,,
17/04/1994,61,36,58,48,25,,,,
18/04/1994,21,56,43,56,42,,,,
19/04/1994,42,58,52,73,46,,,,
20/04/1994,53,43,45,54,36,,,,
21/04/1994,28,68,57,70,57,,,,
22/04/1994,50,77,57,52,54,,,,
23/04/1994,90,73,51,63,40,,,,
24/04/1994,62,59,57,67,38,,,,
25/04/1994,103,67,68,59,39,,,,
26/04/1994,93,190,119,73,43,,,,
27/04/1994,73,191,122,62,92,,,,
28/04/1994,62,212,139,53,74,,,,
29/04/1994,43,79,73,66,58,,,,
30/04/1994,30,59,57,60,67,,,,
01/05/1994,62,64,70,50,33,,,,
02/05/1994,45,50,61,48,51,,,,
03/05/1994,27,48,46,44,38,,,,
04/05/1994,24,41,40,33,31,,,,
05/05/1994,23,38,28,25,42,,,,
06/05/1994,41,43,47,43,35,,,,
07/05/1994,50,44,42,38,41,,,,
08/05/1994,61,39,55,22,41,,,,
09/05/1994,24,35,30,31,27,,,,
10/05/1994,39,53,38,38,67,,,,
11/05/1994,54,48,30,18,42,,,,
12/05/1994,53,47,52,22,23,,,,
13/05/1994,34,68,66,35,69,,,,
14/05/1994,30,37,64,28,69,,,,
15/05/1994,63,58,49,32,82,,,,
16/05/1994,71,66,61,55,102,,,,
17/05/1994,63,68,112,33,71,,,,
18/05/1994,27,65,76,56,61,,,,
19/05/1994,25,41,48,51,52,,,,
20/05/1994,53,69,86,27,77,,,,
21/05/1994,117,147,100,44,46,,,,
22/05/1994,24,48,54,34,60,,,,
23/05/1994,32,65,84,42,69,,,,
24/05/1994,60,158,92,46,52,,,,
25/05/1994,56,88,124,63,65,,,,
26/05/1994,214,228,220,203,135,,,,
27/05/1994,34,49,48,46,48,,,,
28/05/1994,37,56,60,36,42,,,,
29/05/1994,89,145,68,42,60,,,,
30/05/1994,135,468,207,120,75,,,,
31/05/1994,199,312,287,187,66,,,,
01/06/1994,133,193,198,60,72,,,,
02/06/1994,38,65,76,42,46,,,,
03/06/1994,41,488,84,40,47,,,,
04/06/1994,54,64,72,50,57,,,,
05/06/1994,79,92,139,51,170,,,,
06/06/1994,101,161,104,71,70,,,,
07/06/1994,46,156,76,89,96,,,,
08/06/1994,23,28,28,23,46,,,,
09/06/1994,25,40,49,31,24,,,,
10/06/1994,30,58,30,31,30,,,,
11/06/1994,50,83,95,44,49,,,,
12/06/1994,62,157,65,28,73,,,,
13/06/1994,73,181,127,44,100,,,,
14/06/1994,50,52,84,24,54,,,,
15/06/1994,39,68,70,28,123,,,,
16/06/1994,42,75,68,24,110,,,,
17/06/1994,42,50,56,38,43,,20,,
18/06/1994,31,44,74,49,25,,19,,
19/06/1994,20,60,58,31,33,,,,
20/06/1994,31,71,43,28,34,,,,
21/06/1994,80,135,59,36,79,,,,
22/06/1994,68,116,94,41,130,,16,,
23/06/1994,33,97,67,47,68,,15,,
24/06/1994,30,34,30,39,30,,3,,
25/06/1994,31,39,34,32,30,,4,,
26/06/1994,30,52,41,28,30,,7,,
27/06/1994,30,52,28,26,29,,8,,
28/06/1994,27,35,34,28,26,,8,,
29/06/1994,39,36,36,28,37,,9,,
30/06/1994,29,27,29,31,30,,8,,
01/07/1994,31,60,45,32,29,,8,,
02/07/1994,81,87,169,45,72,,19,,
03/07/1994,83,90,205,53,51,,18,,
04/07/1994,63,95,126,37,55,,12,,
05/07/1994,46,75,120,33,86,,44,,
06/07/1994,57,96,151,72,115,,46,,
07/07/1994,66,129,143,37,128,,33,,
08/07/1994,48,82,103,50,113,,,,
09/07/1994,88,75,80,38,38,,12,,
10/07/1994,97,137,176,50,69,,12,,
11/07/1994,95,130,119,30,47,,12,,
12/07/1994,35,40,74,25,17,,6,,
13/07/1994,30,38,53,31,30,,8,,
14/07/1994,41,79,54,31,32,,20,,
15/07/1994,43,63,82,30,97,,20,,
16/07/1994,31,63,62,29,135,,14,,
17/07/1994,34,50,40,31,32,,12,,
18/07/1994,70,111,56,48,94,,11,,
19/07/1994,56,164,70,40,60,,12,,
20/07/1994,74,201,185,35,118,,13,,
21/07/1994,49,117,65,30,115,,27,,
22/07/1994,32,60,76,29,58,,27,,
23/07/1994,25,37,36,31,36,,7,,
24/07/1994,89,97,118,46,67,,18,,
25/07/1994,84,108,91,31,46,,18,,
26/07/1994,46,70,78,31,91,,27,,
27/07/1994,43,86,60,29,75,,31,,
28/07/1994,40,68,54,28,112,,31,,
29/07/1994,42,75,100,33,121,,14,,
30/07/1994,49,61,110,33,100,,9,,
31/07/1994,34,35,36,56,29,,3,,
01/08/1994,31,35,33,31,31,,4,,
02/08/1994,33,38,37,31,57,,6,,
03/08/1994,48,76,64,48,106,,28,,
04/08/1994,34,77,40,50,97,,29,,
05/08/1994,66,106,79,44,109,,17,,
06/08/1994,69,88,93,45,120,,17,,
07/08/1994,34,38,64,38,106,,9,,
08/08/1994,32,56,35,32,31,,5,,
09/08/1994,32,64,45,32,94,,5,,
10/08/1994,61,94,60,60,105,,16,,
11/08/1994,56,97,94,36,107,,17,,
12/08/1994,64,130,67,44,75,,7,,
13/08/1994,34,46,39,31,73,,7,,
14/08/1994,38,39,40,33,94,,11,,
15/08/1994,38,128,68,36,96,,26,,
16/08/1994,48,93,97,52,113,,26,,
17/08/1994,44,91,53,36,246,,10,,
18/08/1994,33,60,70,25,140,,11,,
19/08/1994,67,85,103,96,44,,6,,
20/08/1994,75,87,39,33,70,,15,,
21/08/1994,76,77,48,34,30,,10,,
22/08/1994,43,65,92,34,41,,5,,
23/08/1994,36,36,34,30,30,,5,,
24/08/1994,40,48,89,46,70,,9,,
25/08/1994,51,69,50,44,83,,23,,
26/08/1994,105,90,93,44,181,,30,,
27/08/1994,129,166,150,118,468,,15,,
28/08/1994,170,160,118,127,79,,7,,
29/08/1994,53,81,72,66,69,,8,,
30/08/1994,37,50,40,46,45,,4,,
31/08/1994,55,45,49,35,53,,,,
01/09/1994,56,62,59,41,48,,,,
02/09/1994,88,94,63,60,66,,,,
03/09/1994,128,77,97,71,99,,,,
04/09/1994,70,60,83,46,92,,,,
05/09/1994,85,64,59,35,56,,,,
06/09/1994,36,37,35,27,42,,,,
07/09/1994,35,44,36,33,38,,,,
08/09/1994,33,61,39,35,48,,,,
09/09/1994,39,42,32,31,43,,,,
10/09/1994,34,51,45,34,41,,,,
11/09/1994,50,45,50,47,34,,,,
12/09/1994,53,49,59,54,62,,,,
13/09/1994,41,47,38,35,57,,,,
14/09/1994,43,41,36,33,48,,,,
15/09/1994,46,60,39,40,116,,,,
16/09/1994,48,74,50,47,42,,,,
17/09/1994,45,42,55,44,180,,,,
18/09/1994,42,43,41,36,130,,,,
19/09/1994,40,86,46,34,62,,,,
20/09/1994,35,41,36,31,50,,,,
21/09/1994,34,48,36,34,50,,,,
22/09/1994,50,48,48,39,143,,,,
23/09/1994,134,56,107,53,65,,,,
24/09/1994,45,45,37,31,52,,,,
25/09/1994,32,39,38,33,39,,,,
26/09/1994,43,41,37,35,62,,,,
27/09/1994,35,116,35,31,32,,,,
28/09/1994,45,38,92,34,32,,,,
29/09/1994,39,72,80,30,117,,,,
30/09/1994,38,43,37,31,48,,,,
01/10/1994,46,51,46,36,40,,,,
02/10/1994,44,40,40,41,83,,,,
03/10/1994,40,40,39,34,49,,,,
04/10/1994,55,97,60,47,160,,,,
05/10/1994,44,46,36,71,80,,,,
06/10/1994,162,68,59,152,106,,,,
07/10/1994,79,136,74,62,99,,,,
08/10/1994,36,44,36,31,48,,,,
09/10/1994,37,45,40,30,33,,,,
10/10/1994,48,51,52,43,57,,,,
11/10/1994,44,67,59,51,87,,,,
12/10/1994,38,64,57,47,44,,,,
13/10/1994,59,87,59,65,59,,,,
14/10/1994,42,62,53,37,39,,,,
15/10/1994,57,69,81,73,68,,,,
16/10/1994,53,72,83,78,52,,,,
17/10/1994,97,85,81,112,70,,,,
18/10/1994,43,67,41,41,55,,,,
19/10/1994,28,43,33,29,40,,,,
20/10/1994,34,49,47,33,30,,,,
21/10/1994,35,36,36,37,34,,,,
22/10/1994,33,35,40,44,33,,,,
